"body", "keywords", count
"2", "4K display  Concept", 1
"2", "display", 1
"2", "Galaxy Note5", 1
"2", "galaxynote5", 1
"2", "Samsung Galaxy Note5", 1
"2", "tv", 1
"2", "video", 1
"3", "ar galaxy note", 1
"3", "Galaxy Note5", 1
"3", "galaxynote5", 1
"4", "4G", 1
"4", "4GB", 1
"4", "Exynos", 1
"4", "Galaxy Note5", 1
"4", "galaxynote5", 1
"4", "OS", 1
"4", "RAM", 1
"5", "4G", 1
"5", "4GB", 1
"5", "64GB", 1
"5", "battery", 1
"5", "BT", 1
"5", "car", 1
"5", "great upgrade", 1
"5", "great upgrade.", 1
"5", "ips", 1
"5", "OS", 2
"5", "Pre order", 1
"5", "pre-order", 1
"5", "removable battery", 1
"5", "ROM", 1
"5", "SD", 1
"5", "SD card", 1
"5", "SD-Card", 1
"5", "upgrade", 1
"6", "accessories", 1
"6", "BT", 1
"6", "charging", 2
"6", "Galaxy Note5", 1
"6", "galaxynote5", 1
"6", "HW", 1
"6", "SD", 1
"6", "Wireless", 2
"6", "wireless charging", 2
"6", "wireless charging capabilities", 1
"7", "16MP camera", 1
"7", "2k", 1
"7", "4G", 1
"7", "4GB", 1
"7", "5.7-inch display", 1
"7", "64-bit architecture", 1
"7", "64bit", 1
"7", "aforementioned flagship handsets", 1
"7", "Amoled", 1
"7", "AMOLED quad-HD", 1
"7", "ATM", 1
"7", "ATM.", 1
"7", "auto-focus", 1
"7", "autofocus", 1
"7", "battery", 1
"7", "Battery life", 1
"7", "battery-life", 1
"7", "Best screen", 1
"7", "best screens", 1
"7", "bloated TouchWiz", 1
"7", "camera", 4
"7", "car", 3
"7", "design", 2
"7", "design.", 2
"7", "display", 2
"7", "edge", 3
"7", "Exynos", 1
"7", "fast autofocus", 1
"7", "Galaxy Note5", 2
"7", "galaxynote5", 2
"7", "handsets", 1
"7", "HW", 1
"7", "ips", 1
"7", "latest flagships", 1
"7", "low light performance", 1
"7", "LTE", 1
"7", "Note5s", 2
"7", "notes", 3
